  
   U.S. Geological Survey 
  Processed Temperature Log (denoised, deconvolved) 
          21-Oct-2014 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   NEEM-D 
  File name:   NEEM-D_11MAY30b_c_d 
  Log date:    30-MAY-2011 
  
Contact Information: 
  Gary Clow 
  U.S. Geological Survey 
  clow@usgs.gov 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
________________________________________________ 
             
 Depth  Temperature 
 80.64 -29.0568
100.00 -29.0905
150.00 -29.1705
200.00 -29.1799
250.00 -29.1492
300.00 -29.1042
350.00 -29.0646
400.00 -29.0365
450.00 -29.0197
500.00 -29.0131
550.00 -29.0154
600.00 -29.0247
650.00 -29.0392
700.00 -29.0554
750.00 -29.0732
800.00 -29.0878
850.00 -29.0956
900.00 -29.0940
950.00 -29.0767
1000.00 -29.0413
1050.00 -28.9816
1100.00 -28.8927
1150.00 -28.7704
1200.00 -28.6077
1250.00 -28.3983
1300.00 -28.1405
1350.00 -27.8458
1400.00 -27.5026
1450.00 -27.1201
1500.00 -26.6118
1550.00 -25.9720
1600.00 -25.3967
1650.00 -24.6864
1700.00 -23.4517
1750.00 -23.1638
1800.00 -22.0468
1850.00 -20.9885
1900.00 -19.8879
1950.00 -19.1369
2000.00 -17.8310
2050.00 -16.3858
2100.00 -15.0965
2150.00 -13.5282
2200.00 -12.7130
2250.00 -11.4251
2300.00 -9.9199
2350.00 -8.5437
2400.00 -7.0898
2450.00 -5.6490
2500.00 -4.1845
2532.00 -3.5839
