d,t
10.91, -24.16
15.91, -24.35
20.91, -24.33
25.91, -24.19
30.91, -24.19
35.91, -24.08
40.91, -24.03
45.91, -23.92
50.91, -23.85
55.91, -23.80
60.91, -23.72
65.91, -23.68
70.91, -23.61
75.91, -23.54
80.91, -23.47
85.91, -23.39
90.91, -23.32
95.91, -23.23
100.91, -23.14
105.91, -23.05
110.91, -22.97
115.91, -22.85
120.91, -22.76
125.91, -22.68
130.91, -22.56
135.91, -22.44
140.91, -22.33
145.91, -22.24
150.91, -22.11
155.91, -21.98
160.91, -21.86
165.91, -21.76
170.91, -21.61
175.91, -21.49
180.91, -21.35
185.91, -21.22
190.91, -21.09
195.91, -20.95
200.91, -20.83
205.91, -20.69
210.91, -20.55
215.91, -20.42
220.91, -20.27
225.91, -20.13
230.91, -19.99
235.91, -19.82
240.91, -19.69
245.91, -19.55
250.91, -19.39
255.91, -19.24
260.91, -19.09
265.91, -18.94
270.91, -18.80
275.91, -18.64
280.91, -18.50
285.91, -18.42
290.91, -18.17
295.91, -17.90
300.91, -17.84
305.91, -17.69
310.91, -17.54
315.91, -17.37
320.91, -17.22
325.91, -17.06
330.91, -16.92
335.91, -16.83
340.91, -16.74
