Borehole ID,Place name,Geographic location,Site type,Data Source,Data DOI,Science Source,Science DOI,Date,Longitude [°E],Latitude [°N],Location Source,Depth of top measurement [m],Depth of bottom measurement [m],Ice thickness [m],Coverage [% of thickness],Ice thickness source,Note
Barnes_T061_1977,Barnes Ice Cap,Canadian Arctic South,Ice cap,Graphic in science source,,"Hooke, Roger LeB., Alexander, E. Calvin, Gustafson, Robert J.: Temperature profiles in the Barnes Ice Cap, Baffin Island, Canada, and heat flux from the subglacial terrane , Canadian Journal of Earth Sciences 17(9), Canadian Science Publishing, 1174–1188, sep 1980",10.1139/e80-124,1977-06-15,-71.9703,69.78899,Location digitized by M. Jacquemart from Gilbert (2016),0.0,217,239,91,See science source,"Date is ""Date completed"" from Hooke (1980) Table 1 Column 2 + Days to final measurement (Column 3); Temperature and location digitized by M. Jacquemart from Gilbert (2016)"
Barnes_T081_1978,Barnes Ice Cap,Canadian Arctic South,Ice cap,Graphic in science source,,"Hooke, Roger LeB., Alexander, E. Calvin, Gustafson, Robert J.: Temperature profiles in the Barnes Ice Cap, Baffin Island, Canada, and heat flux from the subglacial terrane , Canadian Journal of Earth Sciences 17(9), Canadian Science Publishing, 1174–1188, sep 1980",10.1139/e80-124,1978-06-30,-72.155,69.74945,Location digitized by M. Jacquemart from Gilbert (2016),0.0,153,173,88,See science source,"Date is ""Date completed"" from Hooke (1980) Table 1 Column 2 + Days to final measurement (Column 3); Temperature and location digitized by M. Jacquemart from Gilbert (2016)"
Barnes_T091_1977,Barnes Ice Cap,Canadian Arctic South,Ice cap,Graphic in science source,,"Hooke, Roger LeB., Alexander, E. Calvin, Gustafson, Robert J.: Temperature profiles in the Barnes Ice Cap, Baffin Island, Canada, and heat flux from the subglacial terrane , Canadian Journal of Earth Sciences 17(9), Canadian Science Publishing, 1174–1188, sep 1980",10.1139/e80-124,1977-07-08,-72.1207,69.78211,Location digitized by M. Jacquemart from Gilbert (2016),0.0,93,140,66,See science source,"Date is ""Date completed"" from Hooke (1980) Table 1 Column 2 + Days to final measurement (Column 3); Temperature and location digitized by M. Jacquemart from Gilbert (2016)"
Barnes_T0975_1976,Barnes Ice Cap,Canadian Arctic South,Ice cap,Graphic in science source,,"Hooke, Roger LeB., Alexander, E. Calvin, Gustafson, Robert J.: Temperature profiles in the Barnes Ice Cap, Baffin Island, Canada, and heat flux from the subglacial terrane , Canadian Journal of Earth Sciences 17(9), Canadian Science Publishing, 1174–1188, sep 1980",10.1139/e80-124,1976-06-22,-72.1103,69.79795,Location digitized by M. Jacquemart from Gilbert (2016),0.0,47,115,41,See science source,"Date is ""Date completed"" from Hooke (1980) Table 1 Column 2 + Days to final measurement (Column 3); Temperature and location digitized by M. Jacquemart from Gilbert (2016)"
Bowdoin_BH1,Bowdoin Glacier,Northwest Greenland,Ice sheet,"Seguinot, Funk, Bauder, Wyder, Senn, & Sugiyama. (2020). Bowdoin Glacier borehole temperature data [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3695961",10.5281/zenodo.3695961,"Seguinot J, Funk M, Bauder A, Wyder T, Senn C and Sugiyama S (2020) Englacial Warming Indicates Deep Crevassing in Bowdoin Glacier, Greenland. Front. Earth Sci. 8:65. doi: 10.3389/feart.2020.00065",10.3389/feart.2020.00065,2014-10-01,-68.5565598058807,77.69072896854759,10.3389/feart.2020.00065,123,265,272,52,10.3389/feart.2020.00065,
Bowdoin_BH2,Bowdoin Glacier,Northwest Greenland,Ice sheet,"Seguinot, Funk, Bauder, Wyder, Senn, & Sugiyama. (2020). Bowdoin Glacier borehole temperature data [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3695961",10.5281/zenodo.3695961,"Seguinot J, Funk M, Bauder A, Wyder T, Senn C and Sugiyama S (2020) Englacial Warming Indicates Deep Crevassing in Bowdoin Glacier, Greenland. Front. Earth Sci. 8:65. doi: 10.3389/feart.2020.00065",10.3389/feart.2020.00065,2014-10-01,-68.55649538258352,77.69079167070811,10.3389/feart.2020.00065,9,262,262,97,10.3389/feart.2020.00065,
Bowdoin_BH3,Bowdoin Glacier,Northwest Greenland,Ice sheet,"Seguinot, Funk, Bauder, Wyder, Senn, & Sugiyama. (2020). Bowdoin Glacier borehole temperature data [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3695961",10.5281/zenodo.3695961,"Seguinot J, Funk M, Bauder A, Wyder T, Senn C and Sugiyama S (2020) Englacial Warming Indicates Deep Crevassing in Bowdoin Glacier, Greenland. Front. Earth Sci. 8:65. doi: 10.3389/feart.2020.00065",10.3389/feart.2020.00065,2015-01-01,-68.5610846216063,77.6887192529418,10.3389/feart.2020.00065,11,247,252,94,10.3389/feart.2020.00065,
CampCentury,Camp Century,Northwest Greenland,Ice sheet,Graphic in science source,,"Gundestrup, N. S., Dahl-Jensen, D., Hansen, B. L., & Kelty, J. (1993). Bore-hole survey at Camp Century, 1989. Cold regions science and technology, 21(2), 187-193.",10.1016/0165-232X(93)90006-T,1966,-61.1097,77.1797,"Colgan, 2021",100.0,1387,1387,93,"Weertman, 1968",Data from Gundestrup (1993) seems higher fidelity than Weertman (1968). See https://github.com/GEUS-Glaciology-and-Climate/greenland_ice_borehole_temperature_profiles/issues/38
CampIII_78,Nunap Kigdlinga,Central West Greenland,Ice sheet,Table in science source,,"Stauffer, B., and H. Oeschger. 1979. Temperaturprofile in bohrloechern am rande des Groenlaendischen Inlandeises. Hydrologie und Glaziologie an der ETH Zurich. Mitteilung Nr. 41.",,1978,-50.133,69.717,"MacKinnon, 1980",10.0,90,90,89,"MacKinnon, 1980",See also shallow profiles at boreholes I and III
CampVI_50,Sermeq Avannerleq,Central West Greenland,Ice sheet,Table in science source,,"Heuberger, J.-C. 1954. Expéditions Polaires Françaises: Missions Paul-Emil Victor. Glaciologie Groenland Volume 1: Forages sur l'inlandsis. Hermann & Cle, Éditeurs. Paris.",,1950,-48.2625,69.6981,"Heuberger, 1954",4.0,125,1389,9,BedMachine_V3,
DYE-3,DYE-3,South Greenland,Ice sheet,Graphic in science source,,"Gundestrup, N. and B. Hansen. 1984. Bore-Hole Survey at Dye 3, South Greenland. Journal of Glaciology. 30: 282–288. ",10.3189/S0022143000006109,1983,-43.8167,65.1833,See data source,152.0,2030,2038,92,See data source,
Devon72,Devon Ice Cap,Canadian Arctic North,Ice cap,Graphic in science source,,"Paterson, W., R. Koerner, D. Fisher et al. 1977. An oxygen-isotope climatic record from the Devon Island ice cap, Arctic Canada. Nature. 266: 508-511.",10.1038/266508a0,1972,-82.3,75.3,10.5194/essd-14-2209-2022,10.0,213,300,68,See data source,
Devon73,Devon Ice Cap,Canadian Arctic North,Ice cap,Graphic in science source,,"Paterson, W., R. Koerner, D. Fisher et al. 1977. An oxygen-isotope climatic record from the Devon Island ice cap, Arctic Canada. Nature. 266: 508-511.",10.1038/266508a0,1973,-82.14,75.34,10.5194/essd-14-2209-2022,9.0,299,299,97,See data source,
Devon98,Devon Ice Cap,Canadian Arctic North,Ice cap,Zdanowicz email,,"Kinnard, C., C. Zdanowicz, D. Fisher et al. 2006. Calibration of an ice-core glaciochemical (sea-salt) record with Sea-ice variability in the Canadian Arctic. Annals of Glaciology. 44: 383-390. ",10.3189/172756406781811349,2000-04-15,-82.3,75.3,10.5194/essd-14-2209-2022,13.0,218,301,68,See data source,
FOXX1,Sermeq Avannerleq,Central West Greenland,Ice sheet,Lüthi email,,"Ryser, C., Lüthi, M. P., Andrews, L. C., Hoffman, M. J., Catania, G. A., Hawley, R. L., ... & Kristensen, S. S. (2014). Sustained high basal motion of the Greenland ice sheet revealed by borehole deformation. Journal of Glaciology, 60(222), 647-660.",10.3189/2014JoG13J196,2011-07-01,-49.8851,69.4459,10.3189/2014JoG13J196,10.0,50,624,6,"Ryser, 2014 (Table 2)",See FOXX1/temperature_foxx_gull_streamlined.org
FOXX2,Sermeq Avannerleq,Central West Greenland,Ice sheet,Lüthi email,,"Ryser, C., Lüthi, M. P., Andrews, L. C., Hoffman, M. J., Catania, G. A., Hawley, R. L., ... & Kristensen, S. S. (2014). Sustained high basal motion of the Greenland ice sheet revealed by borehole deformation. Journal of Glaciology, 60(222), 647-660.",10.3189/2014JoG13J196,2011-07-02,-49.8851,69.4459,10.3189/2014JoG13J196,70.0,286,614,35,"Ryser, 2014 (Table 2)",See FOXX1/temperature_foxx_gull_streamlined.org
FOXX4,Sermeq Avannerleq,Central West Greenland,Ice sheet,Lüthi email,,"Ryser, C., Lüthi, M. P., Andrews, L. C., Hoffman, M. J., Catania, G. A., Hawley, R. L., ... & Kristensen, S. S. (2014). Sustained high basal motion of the Greenland ice sheet revealed by borehole deformation. Journal of Glaciology, 60(222), 647-660.",10.3189/2014JoG13J196,2011-07-06,-49.8851,69.4459,10.3189/2014JoG13J196,411.0,606,614,32,"Ryser, 2014 (Table 2)",See FOXX1/temperature_foxx_gull_streamlined.org
FOXX6_inclinometer,Sermeq Avannerleq,Central West Greenland,Ice sheet,Lüthi email,,"Ryser, C., Lüthi, M. P., Andrews, L. C., Hoffman, M. J., Catania, G. A., Hawley, R. L., ... & Kristensen, S. S. (2014). Sustained high basal motion of the Greenland ice sheet revealed by borehole deformation. Journal of Glaciology, 60(222), 647-660.",10.3189/2014JoG13J196,2011-07-11,-49.8851,69.4459,10.3189/2014JoG13J196,262.0,612,614,57,"Ryser, 2014 (Table 2)",See FOXX1/temperature_foxx_gull_streamlined.org
FOXX6_thermistor1,Sermeq Avannerleq,Central West Greenland,Ice sheet,Lüthi email,,"Ryser, C., Lüthi, M. P., Andrews, L. C., Hoffman, M. J., Catania, G. A., Hawley, R. L., ... & Kristensen, S. S. (2014). Sustained high basal motion of the Greenland ice sheet revealed by borehole deformation. Journal of Glaciology, 60(222), 647-660.",10.3189/2014JoG13J196,2011-07-11,-49.8851,69.4459,10.3189/2014JoG13J196,10.0,50,614,7,"Ryser, 2014 (Table 2)",See FOXX1/temperature_foxx_gull_streamlined.org
FOXX6_thermistor2,Sermeq Avannerleq,Central West Greenland,Ice sheet,Lüthi email,,"Ryser, C., Lüthi, M. P., Andrews, L. C., Hoffman, M. J., Catania, G. A., Hawley, R. L., ... & Kristensen, S. S. (2014). Sustained high basal motion of the Greenland ice sheet revealed by borehole deformation. Journal of Glaciology, 60(222), 647-660.",10.3189/2014JoG13J196,2011-07-11,-49.8851,69.4459,10.3189/2014JoG13J196,70.0,342,614,44,"Ryser, 2014 (Table 2)",See FOXX1/temperature_foxx_gull_streamlined.org
FladeIsblink06,Flade Isblink Ice Cap,Northeast Greenland,Ice cap,Dalh-Jensen email,,"Lemark, A. and D. Dahl-Jensen. 2010. A study of the Flade Isblink ice cap using a simple ice flow model. Master's thesis. Niels Bohr Institute, Copenhagen University.",,2006,-15.7029,81.2926,10.5194/essd-14-2209-2022,80.0,420,540,63,W. Colgan email,
GISP2,GISP2,Central Greenland,Ice sheet,Clow email,,"Cuffey, K. M., Clow, G. D., Alley, R. B., Stuiver, M., Waddington, E. D., & Saltus, R. W. (1995). Large arctic temperature change at the Wisconsin-Holocene glacial transition. Science, 270(5235), 455-458.",10.1002/2014JF003418,1996-06-02,-38.4667,72.5833,10.5194/essd-14-2209-2022,73.0,3053,3053,98,https://en.wikipedia.org/wiki/List_of_ice_cores#Greenland,"Ice thickness from data does not match ice thickness from Vinther (2008); Location approximate; See also Table 1 of MacGregor, J., J. Li, J. Paden et al. 2015. Radar attenuation and temperature within the Greenland Ice Sheet. Journal of Geophysical Research. 120: 983-1008. "
GRIP,GRIP,Central Greenland,Ice sheet,Clow email,,"Dahl-Jensen, D., Mosegaard, K., Gundestrup, N., Clow, G. D., Johnsen, S. J., Hansen, A. W., & Balling, N. (1998). Past temperatures directly from the Greenland ice sheet. Science, 282(5387), 268-271.",10.1002/2014JF003418,1998,-37.64,72.58,"Vinther, 2008",41.0,3029,3029,99,G. Clow email,"See also Table 1 of MacGregor, J., J. Li, J. Paden et al. 2015. Radar attenuation and temperature within the Greenland Ice Sheet. Journal of Geophysical Research. 120: 983-1008. "
GULL1_inclinometer,Sermeq Avannerleq,Central West Greenland,Ice sheet,Lüthi email,,"Ryser, C., Lüthi, M. P., Andrews, L. C., Hoffman, M. J., Catania, G. A., Hawley, R. L., ... & Kristensen, S. S. (2014). Sustained high basal motion of the Greenland ice sheet revealed by borehole deformation. Journal of Glaciology, 60(222), 647-660.",10.3189/2014JoG13J196,2011-07-25,-49.7182,69.4524,10.3189/2014JoG13J196,355.0,702,705,49,"Ryser, 2014 (Table 3). 705/707 for thickness",See FOXX1/temperature_foxx_gull_streamlined.org
GULL1_thermistor1,Sermeq Avannerleq,Central West Greenland,Ice sheet,Lüthi email,,"Ryser, C., Lüthi, M. P., Andrews, L. C., Hoffman, M. J., Catania, G. A., Hawley, R. L., ... & Kristensen, S. S. (2014). Sustained high basal motion of the Greenland ice sheet revealed by borehole deformation. Journal of Glaciology, 60(222), 647-660.",10.3189/2014JoG13J196,2011-07-25,-49.7182,69.4524,10.3189/2014JoG13J196,10.0,50,705,6,"Ryser, 2014 (Table 3). 705/707 for thickness",See FOXX1/temperature_foxx_gull_streamlined.org
GULL1_thermistor2,Sermeq Avannerleq,Central West Greenland,Ice sheet,Lüthi email,,"Ryser, C., Lüthi, M. P., Andrews, L. C., Hoffman, M. J., Catania, G. A., Hawley, R. L., ... & Kristensen, S. S. (2014). Sustained high basal motion of the Greenland ice sheet revealed by borehole deformation. Journal of Glaciology, 60(222), 647-660.",10.3189/2014JoG13J196,2011-07-25,-49.7182,69.4524,10.3189/2014JoG13J196,12.0,300,705,41,"Ryser, 2014 (Table 3). 705/707 for thickness",See FOXX1/temperature_foxx_gull_streamlined.org
GULL5,Sermeq Avannerleq,Central West Greenland,Ice sheet,Lüthi email,,"Ryser, C., Lüthi, M. P., Andrews, L. C., Hoffman, M. J., Catania, G. A., Hawley, R. L., ... & Kristensen, S. S. (2014). Sustained high basal motion of the Greenland ice sheet revealed by borehole deformation. Journal of Glaciology, 60(222), 647-660.",10.3189/2014JoG13J196,2011-07-29,-49.7182,69.4524,10.3189/2014JoG13J196,307.0,707,707,57,"Ryser, 2014 (Table 3). 705/707 for thickness",See FOXX1/temperature_foxx_gull_streamlined.org
HansTausen_Dome,Hans Tausen Dome,North Greenland,Ice cap,"E. Welty, Issue #50, and Reeh, Niels, ed. Report on Activities and Results 1993-1995 for Hans Tausen Ice Cap Project: Glacier and Climate Change Research, North Greenland. 1995. Fig. 6.",,"Zekollari, Harry, Huybrechts, Philippe, Noël, Brice, van de Berg, Willem Jan, van den Broeke, Michiel R.: Sensitivity, stability and future evolution of the world’s northernmost ice cap, Hans Tausen Iskappe (Greenland) , The Cryosphere 11(2), Copernicus GmbH, 805–825, 3 2017 ",10.5194/tc-11-805-2017,1995,-37.47,82.51,10.5194/essd-14-2209-2022,12,341,345,95,See data source,Drill date: 10.34194/bullggu.v172.6749 
HansTausen_Hare,Hans Tausen Hare,North Greenland,Ice cap,Zekollari email,,"Thomsen, H., Reeh, N., Olesen, O., & Jonsson, P. (1996). Glacier and climate research on Hans Tausen Iskappe, North Greenland – 1995 glacier basin activities and preliminary results. Bulletin Grønlands Geologiske Undersøgelse, 172, 78–84. https://doi.org/10.34194/bullggu.v172.6749",10.34194/bullggu.v172.6749,1995,-36.67,82.84,10.5194/essd-14-2209-2022,9.0,288,289,97,See data source,Drill date: 10.34194/bullggu.v172.6749 
Isua_10,Isua,Central West Greenland,Ice sheet,Graphic in science source,,"Colbeck, S. and A. Gow. 1979. The margin of the Greenland Ice Sheet at Isua. Journal of Glaciology. 24: 155-165. ",10.3189/S0022143000014714,1973,-49.75,65.2093,10.5194/essd-14-2209-2022,5.0,95,97,93,See data source,"Measuremnet date 1972 or 1973. From Colbeck (1979), ""Five holes (see Fig. 3) were drilled in 1972 and 1973 for the purpose of making temperature measurements and taking ice cores."""
Isua_11,Isua,Central West Greenland,Ice sheet,Graphic in science source,,"Colbeck, S. and A. Gow. 1979. The margin of the Greenland Ice Sheet at Isua. Journal of Glaciology. 24: 155-165. ",10.3189/S0022143000014714,1973,-49.751,65.2072,10.5194/essd-14-2209-2022,25.0,116,120,76,See data source,"Measuremnet date 1972 or 1973. From Colbeck (1979), ""Five holes (see Fig. 3) were drilled in 1972 and 1973 for the purpose of making temperature measurements and taking ice cores."""
Isua_12,Isua,Central West Greenland,Ice sheet,Graphic in science source,,"Colbeck, S. and A. Gow. 1979. The margin of the Greenland Ice Sheet at Isua. Journal of Glaciology. 24: 155-165. ",10.3189/S0022143000014714,1973,-49.753,65.2039,10.5194/essd-14-2209-2022,25.0,95,100,70,See data source,"Measuremnet date 1972 or 1973. From Colbeck (1979), ""Five holes (see Fig. 3) were drilled in 1972 and 1973 for the purpose of making temperature measurements and taking ice cores."""
Isua_13,Isua,Central West Greenland,Ice sheet,Graphic in science source,,"Colbeck, S. and A. Gow. 1979. The margin of the Greenland Ice Sheet at Isua. Journal of Glaciology. 24: 155-165. ",10.3189/S0022143000014714,1973,-49.7456,65.2069,10.5194/essd-14-2209-2022,6.0,247,265,91,See data source,"Measuremnet date 1972 or 1973. From Colbeck (1979), ""Five holes (see Fig. 3) were drilled in 1972 and 1973 for the purpose of making temperature measurements and taking ice cores."""
Isua_14,Isua,Central West Greenland,Ice sheet,Graphic in science source,,"Colbeck, S. and A. Gow. 1979. The margin of the Greenland Ice Sheet at Isua. Journal of Glaciology. 24: 155-165. ",10.3189/S0022143000014714,1973,-49.7443,65.2058,10.5194/essd-14-2209-2022,6.0,237,299,77,See data source,"Measuremnet date 1972 or 1973. From Colbeck (1979), ""Five holes (see Fig. 3) were drilled in 1972 and 1973 for the purpose of making temperature measurements and taking ice cores."""
Isunnguata_13km-10,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper and Toby Meierbachtol. 2021. Western Greenland Ice Sheet ice temperature profiles, 2010-2012. Arctic Data Center",10.18739/A2QV3C51Q,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A945,2010,-50.02945,67.19158,T. Meierbachtol email,4.0,559,704,79,BedMachine v4,See data in M1-10 folder; Harrington 2015 name: S2
Isunnguata_27km-11A,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper and Toby Meierbachtol. 2021. Western Greenland Ice Sheet ice temperature profiles, 2010-2012. Arctic Data Center",10.18739/A2QV3C51Q,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A945,2011,-49.71952,67.19518,T. Meierbachtol email,218.0,368,458,33,T. Meierbachtol email,See data in M1-10 folder; Harrington 2015 name: S3-A
Isunnguata_27km-11B,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper and Toby Meierbachtol. 2021. Western Greenland Ice Sheet ice temperature profiles, 2010-2012. Arctic Data Center",10.18739/A2QV3C51Q,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A945,2011,-49.71913,67.19527,T. Meierbachtol email,27.0,460,466,93,T. Meierbachtol email,See data in M1-10 folder; Harrington 2015 name: S3-B
Isunnguata_27km-11C,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper and Toby Meierbachtol. 2021. Western Greenland Ice Sheet ice temperature profiles, 2010-2012. Arctic Data Center",10.18739/A2QV3C51Q,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A945,2011,-49.71892,67.19505,T. Meierbachtol email,20.0,459,460,95,T. Meierbachtol email,See data in M1-10 folder; Harrington 2015 name: S3-C
Isunnguata_27km-12A,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper and Toby Meierbachtol. 2021. Western Greenland Ice Sheet ice temperature profiles, 2010-2012. Arctic Data Center",10.18739/A2QV3C51Q,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A945,2012,-49.71793,67.20422,T. Meierbachtol email,11.0,690,696,98,T. Meierbachtol email,See data in M1-10 folder; Harrington 2015 name: S4-A
Isunnguata_27km-12B,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper and Toby Meierbachtol. 2021. Western Greenland Ice Sheet ice temperature profiles, 2010-2012. Arctic Data Center",10.18739/A2QV3C51Q,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A946,2012,-49.71778,67.2037,T. Meierbachtol email,18.0,690,688,98,T. Meierbachtol email,See data in M1-10 folder; Harrington 2015 name: S4-B
Isunnguata_27km-12C,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper and Toby Meierbachtol. 2021. Western Greenland Ice Sheet ice temperature profiles, 2010-2012. Arctic Data Center",10.18739/A2QV3C51Q,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A945,2012,-49.71811,67.20382,T. Meierbachtol email,17.0,688,696,96,T. Meierbachtol email,See data in M1-10 folder; Harrington 2015 name: S4-C
Isunnguata_33km_14N,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper. 2017. Ice temperatures measured in a grid of boreholes, Western Greenland, 2014-2016. Arctic Data Center. doi:10.18739/A24746S04.",10.18739/A24746S04,"Hills, Benjamin H., Joel T. Harper, Neil F. Humphrey, and Toby W. Meierbachtol. ""Measured horizontal temperature gradients constrain heat transfer mechanisms in Greenland ice."" Geophysical Research Letters 44, no. 19 (2017): 9778-9785.",10.1002/2017GL074917,2015,-49.5697,67.18307,10.18739/A24746S04,18.0,628,641,95,10.18739/A24746S04,"See also McDowell, I. E., Humphrey, N. F., Harper, J. T., and Meierbachtol, T. W.: The cooling signature of basal crevasses in a hard-bedded region of the Greenland Ice Sheet, The Cryosphere, 15, 897–907, https://doi.org/10.5194/tc-15-897-2021, 2021."
