d,t
80.64,-29.05680000000001
100.0,-29.09049999999999
150.0,-29.170500000000004
200.0,-29.179900000000004
250.0,-29.149200000000008
300.0,-29.10419999999999
350.0,-29.064599999999984
400.0,-29.03649999999999
450.0,-29.0197
500.0,-29.01310000000001
550.0,-29.0154
600.0,-29.024699999999996
650.0,-29.039199999999994
700.0,-29.05539999999999
750.0,-29.073199999999986
800.0,-29.087800000000016
850.0,-29.09559999999999
900.0,-29.093999999999994
950.0,-29.076699999999988
1000.0,-29.041300000000007
1050.0,-28.981600000000014
1100.0,-28.89269999999999
1150.0,-28.770399999999995
1200.0,-28.607699999999994
1250.0,-28.398300000000006
1300.0,-28.140500000000003
1350.0,-27.845799999999997
1400.0,-27.5026
1450.0,-27.120100000000008
1500.0,-26.611799999999988
1550.0,-25.97200000000001
1600.0,-25.39670000000001
1650.0,-24.686399999999992
1700.0,-23.925099999999986
1750.0,-23.16380000000001
1800.0,-22.04679999999999
1850.0,-20.988499999999988
1900.0,-19.887900000000002
1950.0,-19.136899999999997
2000.0,-17.83099999999999
2050.0,-16.385800000000017
2100.0,-15.096499999999992
2150.0,-13.904750000000035
2200.0,-12.713000000000022
2250.0,-11.425099999999986
2300.0,-9.919899999999984
2350.0,-8.543700000000001
2400.0,-7.089800000000025
2450.0,-5.649000000000001
2500.0,-4.389792682926782
2532.0,-3.5838999999999714
