d,t
40.93,-31.6986
45.0,-31.7099
50.0,-31.7249
55.0,-31.7335
60.0,-31.7426
65.0,-31.747
70.0,-31.7504
75.0,-31.7557
80.0,-31.7572
85.0,-31.7643
90.0,-31.7663
95.0,-31.7734
100.0,-31.7744
105.0,-31.7776
110.0,-31.7812
115.0,-31.7867
120.0,-31.7898
125.0,-31.7946
130.0,-31.796
135.0,-31.798
140.0,-31.7972
145.0,-31.7971
150.0,-31.796
155.0,-31.7944
160.0,-31.7908
165.0,-31.7874
170.0,-31.7829
175.0,-31.7777
180.0,-31.7721
185.0,-31.7659
190.0,-31.759
195.0,-31.7521
200.0,-31.7443
205.0,-31.7366
210.0,-31.7287
215.0,-31.7199
220.0,-31.7117
225.0,-31.7029
230.0,-31.6942
235.0,-31.6849
240.0,-31.6764
245.0,-31.6668
250.0,-31.6581
255.0,-31.6493
260.0,-31.6404
265.0,-31.6312
270.0,-31.6225
275.0,-31.6143
280.0,-31.6053
285.0,-31.5968
290.0,-31.5885
295.0,-31.58
300.0,-31.5718
305.0,-31.564
310.0,-31.5562
315.0,-31.5485
320.0,-31.541
325.0,-31.5334
330.0,-31.5262
335.0,-31.5187
340.0,-31.5121
345.0,-31.5052
350.0,-31.4984
355.0,-31.4918
360.0,-31.4855
365.0,-31.479
370.0,-31.4731
375.0,-31.4672
380.0,-31.4615
385.0,-31.456
390.0,-31.4503
395.0,-31.4451
400.0,-31.4399
405.0,-31.4356
410.0,-31.4305
415.0,-31.4261
420.0,-31.4216
425.0,-31.417
430.0,-31.4128
435.0,-31.4089
440.0,-31.4053
445.0,-31.4018
450.0,-31.3981
455.0,-31.3947
460.0,-31.3919
465.0,-31.3884
470.0,-31.3854
475.0,-31.3829
480.0,-31.3803
485.0,-31.3777
490.0,-31.3756
495.0,-31.3731
500.0,-31.3711
505.0,-31.3692
510.0,-31.3677
515.0,-31.3666
520.0,-31.3647
525.0,-31.3632
530.0,-31.3624
535.0,-31.3616
540.0,-31.3608
545.0,-31.3594
550.0,-31.3596
555.0,-31.3588
560.0,-31.3585
565.0,-31.3583
570.0,-31.3587
575.0,-31.3587
580.0,-31.3588
585.0,-31.3591
590.0,-31.3599
595.0,-31.3608
600.0,-31.3625
605.0,-31.3627
610.0,-31.3638
615.0,-31.3649
620.0,-31.3656
625.0,-31.3676
630.0,-31.3695
635.0,-31.3718
640.0,-31.3732
645.0,-31.3745
650.0,-31.3778
655.0,-31.3796
660.0,-31.3826
