  
U.S. Geological Survey 
Processed Temperature Log (denoised, deconvolved) 
       16-Feb-2021 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   GRIP-D 
  File name:   GRIP-D-2_95JUL07_c_d 
  Log date:    07-JUL-1995 
  
Contact Information: 
  Gary Clow 
  Institute of Arctic and Alpine Research 
  University of Colorado, Boulder USA 
  gclow@colorado.edu 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
  NaN:          Not-a-Number (data were missing or bad) 
________________________________________________ 
             
 Depth  Temperature 
 40.93 -31.6986
 45.00 -31.7099
 50.00 -31.7249
 55.00 -31.7335
 60.00 -31.7426
 65.00 -31.7470
 70.00 -31.7504
 75.00 -31.7557
 80.00 -31.7572
 85.00 -31.7643
 90.00 -31.7663
 95.00 -31.7734
100.00 -31.7744
105.00 -31.7776
110.00 -31.7812
115.00 -31.7867
120.00 -31.7898
125.00 -31.7946
130.00 -31.7960
135.00 -31.7980
140.00 -31.7972
145.00 -31.7971
150.00 -31.7960
155.00 -31.7944
160.00 -31.7908
165.00 -31.7874
170.00 -31.7829
175.00 -31.7777
180.00 -31.7721
185.00 -31.7659
190.00 -31.7590
195.00 -31.7521
200.00 -31.7443
205.00 -31.7366
210.00 -31.7287
215.00 -31.7199
220.00 -31.7117
225.00 -31.7029
230.00 -31.6942
235.00 -31.6849
240.00 -31.6764
245.00 -31.6668
250.00 -31.6581
255.00 -31.6493
260.00 -31.6404
265.00 -31.6312
270.00 -31.6225
275.00 -31.6143
280.00 -31.6053
285.00 -31.5968
290.00 -31.5885
295.00 -31.5800
300.00 -31.5718
305.00 -31.5640
310.00 -31.5562
315.00 -31.5485
320.00 -31.5410
325.00 -31.5334
330.00 -31.5262
335.00 -31.5187
340.00 -31.5121
345.00 -31.5052
350.00 -31.4984
355.00 -31.4918
360.00 -31.4855
365.00 -31.4790
370.00 -31.4731
375.00 -31.4672
380.00 -31.4615
385.00 -31.4560
390.00 -31.4503
395.00 -31.4451
400.00 -31.4399
405.00 -31.4356
410.00 -31.4305
415.00 -31.4261
420.00 -31.4216
425.00 -31.4170
430.00 -31.4128
435.00 -31.4089
440.00 -31.4053
445.00 -31.4018
450.00 -31.3981
455.00 -31.3947
460.00 -31.3919
465.00 -31.3884
470.00 -31.3854
475.00 -31.3829
480.00 -31.3803
485.00 -31.3777
490.00 -31.3756
495.00 -31.3731
500.00 -31.3711
505.00 -31.3692
510.00 -31.3677
515.00 -31.3666
520.00 -31.3647
525.00 -31.3632
530.00 -31.3624
535.00 -31.3616
540.00 -31.3608
545.00 -31.3594
550.00 -31.3596
555.00 -31.3588
560.00 -31.3585
565.00 -31.3583
570.00 -31.3587
575.00 -31.3587
580.00 -31.3588
585.00 -31.3591
590.00 -31.3599
595.00 -31.3608
600.00 -31.3625
605.00 -31.3627
610.00 -31.3638
615.00 -31.3649
620.00 -31.3656
625.00 -31.3676
630.00 -31.3695
635.00 -31.3718
640.00 -31.3732
645.00 -31.3745
650.00 -31.3778
655.00 -31.3796
660.00 -31.3826
665.00 -31.3841
670.00 -31.3874
675.00 -31.3886
680.00 -31.3931
685.00 -31.3954
690.00 -31.3999
695.00 -31.4023
700.00 -31.4059
705.00 -31.4098
710.00 -31.4117
715.00 -31.4164
720.00 -31.4196
725.00 -31.4245
730.00 -31.4285
735.00 -31.4322
740.00 -31.4370
745.00 -31.4415
750.00 -31.4453
755.00 -31.4514
760.00 -31.4561
765.00 -31.4592
770.00 -31.4661
775.00 -31.4708
780.00 -31.4759
785.00 -31.4807
790.00 -31.4874
795.00 -31.4917
800.00 -31.4974
805.00 -31.5035
810.00 -31.5083
815.00 -31.5154
820.00 -31.5204
825.00 -31.5271
830.00 -31.5328
835.00 -31.5395
840.00 -31.5456
845.00 -31.5530
850.00 -31.5596
855.00 -31.5642
860.00 -31.5734
865.00 -31.5794
870.00 -31.5864
875.00 -31.5929
880.00 -31.6012
885.00 -31.6076
890.00 -31.6156
895.00 -31.6206
900.00 -31.6298
905.00 -31.6379
910.00 -31.6431
915.00 -31.6536
920.00 -31.6616
925.00 -31.6670
930.00 -31.6753
935.00 -31.6846
940.00 -31.6914
945.00 -31.6993
950.00 -31.7082
955.00 -31.7163
960.00 -31.7266
965.00 -31.7318
970.00 -31.7353
975.00 -31.7421
980.00 -31.7498
985.00 -31.7579
990.00 -31.7656
995.00 -31.7742
1000.00 -31.7822
1005.00 -31.7907
1010.00 -31.7993
1015.00 -31.8089
1020.00 -31.8176
1025.00 -31.8270
1030.00 -31.8350
1035.00 -31.8452
1040.00 -31.8551
1045.00 -31.8631
1050.00 -31.8721
1055.00 -31.8805
1060.00 -31.8886
1065.00 -31.8995
1070.00 -31.9084
1075.00 -31.9164
1080.00 -31.9255
1085.00 -31.9337
1090.00 -31.9438
1095.00 -31.9535
1100.00 -31.9629
1105.00 -31.9719
1110.00 -31.9806
1115.00 -31.9893
1120.00 -31.9984
1125.00 -32.0076
1130.00 -32.0163
1135.00 -32.0248
1140.00 -32.0348
1145.00 -32.0430
1150.00 -32.0524
1155.00 -32.0608
1160.00 -32.0706
1165.00 -32.0787
1170.00 -32.0873
1175.00 -32.0962
1180.00 -32.1048
1185.00 -32.1134
1190.00 -32.1224
1195.00 -32.1308
1200.00 -32.1389
1205.00 -32.1472
1210.00 -32.1556
1215.00 -32.1635
1220.00 -32.1716
1225.00 -32.1788
1230.00 -32.1876
1235.00 -32.1953
1240.00 -32.2029
1245.00 -32.2104
1250.00 -32.2184
1255.00 -32.2254
1260.00 -32.2328
1265.00 -32.2402
1270.00 -32.2477
1275.00 -32.2541
1280.00 -32.2611
1285.00 -32.2680
1290.00 -32.2743
1295.00 -32.2813
1300.00 -32.2871
1305.00 -32.2931
1310.00 -32.2996
1315.00 -32.3053
1320.00 -32.3111
1325.00 -32.3170
1330.00 -32.3223
1335.00 -32.3275
1340.00 -32.3325
1345.00 -32.3374
1350.00 -32.3423
1355.00 -32.3469
1360.00 -32.3510
1365.00 -32.3561
1370.00 -32.3592
1375.00 -32.3630
1380.00 -32.3665
1385.00 -32.3698
1390.00 -32.3738
1395.00 -32.3759
1400.00 -32.3788
1405.00 -32.3820
1410.00 -32.3840
1415.00 -32.3855
1420.00 -32.3876
1425.00 -32.3896
1430.00 -32.3908
1435.00 -32.3915
1440.00 -32.3925
1445.00 -32.3930
1450.00 -32.3933
1455.00 -32.3939
1460.00 -32.3932
1465.00 -32.3923
1470.00 -32.3924
1475.00 -32.3914
1480.00 -32.3920
1485.00 -32.3918
1490.00 -32.3898
1495.00 -32.3873
1500.00 -32.3842
1505.00 -32.3816
1510.00 -32.3790
1515.00 -32.3750
1520.00 -32.3711
1525.00 -32.3668
1530.00 -32.3626
1535.00 -32.3576
1540.00 -32.3523
