  
U.S. Geological Survey 
Processed Temperature Log (denoised, deconvolved) 
       19-Jan-2018 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   NEEM-D 
  File name:   NEEM-D_11MAY27b_c_d 
  Log date:    27-MAY-2011 
  
Contact Information: 
  Gary Clow 
  Institute of Arctic and Alpine Research 
  University of Colorado, Boulder USA 
  gclow@colorado.edu 
  
Definitions: 
  Depth:        Depth below local ground surface (m) 
  Temperature:  ITS-90 temperature (C) 
  NaN:          Not-a-Number (data were missing or bad) 
________________________________________________ 
             
 Depth  Temperature 
 81.29 -29.0610
 85.00 -29.0654
 90.00 -29.0733
 95.00 -29.0826
100.00 -29.0927
105.00 -29.1033
110.00 -29.1140
115.00 -29.1247
120.00 -29.1349
125.00 -29.1438
130.00 -29.1511
135.00 -29.1573
140.00 -29.1626
145.00 -29.1672
150.00 -29.1714
155.00 -29.1747
160.00 -29.1770
165.00 -29.1787
170.00 -29.1801
175.00 -29.1813
180.00 -29.1820
185.00 -29.1824
190.00 -29.1824
195.00 -29.1818
200.00 -29.1807
205.00 -29.1791
210.00 -29.1771
215.00 -29.1747
220.00 -29.1720
225.00 -29.1690
230.00 -29.1657
235.00 -29.1621
240.00 -29.1583
245.00 -29.1543
250.00 -29.1501
255.00 -29.1458
260.00 -29.1414
265.00 -29.1369
270.00 -29.1323
275.00 -29.1278
280.00 -29.1233
285.00 -29.1188
290.00 -29.1143
295.00 -29.1098
300.00 -29.1054
305.00 -29.1010
310.00 -29.0967
315.00 -29.0925
320.00 -29.0884
325.00 -29.0844
330.00 -29.0805
335.00 -29.0767
340.00 -29.0729
345.00 -29.0693
350.00 -29.0658
355.00 -29.0624
360.00 -29.0592
365.00 -29.0561
370.00 -29.0532
375.00 -29.0503
380.00 -29.0476
385.00 -29.0450
390.00 -29.0425
395.00 -29.0401
400.00 -29.0378
405.00 -29.0356
410.00 -29.0335
415.00 -29.0315
420.00 -29.0296
425.00 -29.0278
430.00 -29.0261
435.00 -29.0245
440.00 -29.0230
445.00 -29.0217
450.00 -29.0205
455.00 -29.0194
460.00 -29.0184
465.00 -29.0174
470.00 -29.0166
475.00 -29.0158
480.00 -29.0152
485.00 -29.0146
490.00 -29.0142
495.00 -29.0138
500.00 -29.0136
505.00 -29.0134
510.00 -29.0134
515.00 -29.0134
520.00 -29.0135
525.00 -29.0137
530.00 -29.0140
535.00 -29.0144
540.00 -29.0148
545.00 -29.0153
550.00 -29.0159
555.00 -29.0165
560.00 -29.0172
565.00 -29.0180
570.00 -29.0188
575.00 -29.0198
580.00 -29.0208
585.00 -29.0219
590.00 -29.0230
595.00 -29.0241
600.00 -29.0253
605.00 -29.0265
610.00 -29.0277
615.00 -29.0290
620.00 -29.0304
625.00 -29.0318
630.00 -29.0332
635.00 -29.0347
640.00 -29.0362
645.00 -29.0377
650.00 -29.0393
655.00 -29.0410
660.00 -29.0427
665.00 -29.0444
670.00 -29.0461
675.00 -29.0478
680.00 -29.0495
685.00 -29.0512
690.00 -29.0529
695.00 -29.0547
700.00 -29.0564
705.00 -29.0581
710.00 -29.0599
715.00 -29.0616
720.00 -29.0634
725.00 -29.0652
730.00 -29.0669
735.00 -29.0687
740.00 -29.0704
745.00 -29.0721
750.00 -29.0739
755.00 -29.0757
760.00 -29.0774
765.00 -29.0791
770.00 -29.0807
775.00 -29.0823
780.00 -29.0837
785.00 -29.0851
790.00 -29.0864
795.00 -29.0875
800.00 -29.0887
805.00 -29.0897
810.00 -29.0907
815.00 -29.0917
820.00 -29.0925
825.00 -29.0933
830.00 -29.0941
835.00 -29.0948
840.00 -29.0954
845.00 -29.0960
850.00 -29.0964
855.00 -29.0968
860.00 -29.0971
865.00 -29.0973
870.00 -29.0974
875.00 -29.0974
880.00 -29.0972
885.00 -29.0969
890.00 -29.0964
895.00 -29.0958
900.00 -29.0950
905.00 -29.0941
910.00 -29.0930
915.00 -29.0918
920.00 -29.0904
925.00 -29.0888
930.00 -29.0871
935.00 -29.0852
940.00 -29.0831
945.00 -29.0809
950.00 -29.0785
955.00 -29.0760
960.00 -29.0732
965.00 -29.0703
970.00 -29.0671
975.00 -29.0638
980.00 -29.0603
985.00 -29.0565
990.00 -29.0525
995.00 -29.0483
1000.00 -29.0438
1005.00 -29.0391
1010.00 -29.0342
1015.00 -29.0290
1020.00 -29.0235
1025.00 -29.0178
1030.00 -29.0118
1035.00 -29.0055
1040.00 -28.9989
1045.00 -28.9921
1050.00 -28.9850
1055.00 -28.9776
1060.00 -28.9700
1065.00 -28.9621
1070.00 -28.9540
1075.00 -28.9455
1080.00 -28.9367
1085.00 -28.9275
1090.00 -28.9181
1095.00 -28.9083
1100.00 -28.8982
1105.00 -28.8878
1110.00 -28.8769
1115.00 -28.8657
1120.00 -28.8541
1125.00 -28.8423
1130.00 -28.8300
1135.00 -28.8173
1140.00 -28.8041
1145.00 -28.7906
1150.00 -28.7766
1155.00 -28.7625
1160.00 -28.7481
1165.00 -28.7333
1170.00 -28.7180
1175.00 -28.7024
1180.00 -28.6862
1185.00 -28.6693
1190.00 -28.6519
1195.00 -28.6340
1200.00 -28.6157
1205.00 -28.5970
1210.00 -28.5780
1215.00 -28.5586
1220.00 -28.5388
1225.00 -28.5186
1230.00 -28.4979
1235.00 -28.4772
1240.00 -28.4561
1245.00 -28.4345
1250.00 -28.4124
1255.00 -28.3893
1260.00 -28.3653
1265.00 -28.3409
1270.00 -28.3159
1275.00 -28.2901
1280.00 -28.2640
1285.00 -28.2377
1290.00 -28.2109
1295.00 -28.1837
1300.00 -28.1560
1305.00 -28.1276
1310.00 -28.0988
1315.00 -28.0698
1320.00 -28.0403
1325.00 -28.0106
1330.00 -27.9800
1335.00 -27.9485
1340.00 -27.9161
1345.00 -27.8833
1350.00 -27.8502
1355.00 -27.8168
1360.00 -27.7834
1365.00 -27.7497
1370.00 -27.7156
1375.00 -27.6812
1380.00 -27.6457
1385.00 -27.6085
1390.00 -27.5708
1395.00 -27.5322
1400.00 -27.4930
1405.00 -27.4541
1410.00 -27.4163
1415.00 -27.3787
1420.00 -27.3408
1425.00 -27.3015
1430.00 -27.2613
1435.00 -27.2193
1440.00 -27.1754
1445.00 -27.1301
1450.00 -27.0832
1455.00 -27.0342
1460.00 -26.9821
1465.00 -26.9281
1470.00 -26.8727
1475.00 -26.8168
1480.00 -26.7607
1485.00 -26.7073
1490.00 -26.6547
1495.00 -26.6022
1500.00 -26.5510
1505.00 -26.5019
1510.00 -26.4517
1515.00 -26.4008
1520.00 -26.3498
1525.00 -26.3001
1530.00 -26.2501
1535.00 -26.1982
1540.00 -26.1439
1545.00 -26.0898
1550.00 -26.0351
1555.00 -25.9768
1560.00 -25.9246
1565.00 -25.8848
1570.00 -25.8461
1575.00 -25.7907
1580.00 -25.7266
