d,t
9.592831635979675,-22.803541666294507
15.514306181034733,-22.93014203464495
23.974576316602658,-23.098954434942918
32.44556469980862,-23.141291513112883
42.61575260855342,-23.133074189923775
52.36435611020484,-23.099552870436035
62.538116768162254,-23.0491771065376
73.56147718888941,-22.973524141959615
83.3143679895961,-22.889412693620677
92.6442452835244,-22.796860625266838
102.82443689006466,-22.670599668091597
113.42978565291088,-22.527484266505652
123.18982195204296,-22.359055936748046
132.9477146016473,-22.21592267141604
143.13362260692782,-22.022208209105862
154.1641285260801,-21.86223836310922
163.92630847473973,-21.66851496892601
173.26404581693583,-21.48321433101164
183.4513829219012,-21.272636492417732
193.63872002686674,-21.062058653823822
203.40232907521153,-20.851471883356883
213.1666526733988,-20.63245342474808
