d,t
36.789347821291884, -31.463633327966424
41.25108963279777, -31.461010403960707
47.851395673723445, -31.45971379186513
53.706976470414475, -31.454845542815846
60.22299024253299, -31.45832091135294
65.8495991504895, -31.461074771577632
71.51766319354638, -31.46971917833927
77.97097281259694, -31.474097535398773
84.00341467720298, -31.48478651336427
89.97562975736184, -31.494678743827798
95.65320072655791, -31.504346889028913
101.98135204782224, -31.51407946591688
107.62351395507875, -31.52591062625843
114.07079066853666, -31.529916180894396
119.74972475554108, -31.5361617577221
125.81805413916524, -31.536874829733634
131.6120086773046, -31.538809997582163
138.06232624369008, -31.54440862127964
143.4491613591904, -31.545918159386886
149.71194260063336, -31.544590528629985
155.71087624477417, -31.541396984557387
161.79468903811548, -31.53373483233038
167.535684638094, -31.52721496925439
173.59849176421451, -31.518874919975833
179.68030374826094, -31.516939146326102
191.76385910476088, -31.49558097471923
198.17564544975764, -31.487738123972534
204.1388480152339, -31.47474333050692
210.44197732939813, -31.46259702914167
216.22585632750338, -31.4644438671241
186.03851919742598, -31.503513112873684
