  
U.S. Geological Survey 
Processed Temperature Log (denoised, deconvolved) 
       01-Mar-2021 
________________________________________________ 
  
Temperature Log Information: 
  Well name:   GISP2-D 
  File name:   GISP-D-3_96JUN02_c_d 
  Log date:    02-JUN-1996 
  
Contact Information: 
1575.00 -32.0971
1580.00 -32.0920
1585.00 -32.0866
1590.00 -32.0806
1595.00 -32.0743
1600.00 -32.0676
1605.00 -32.0606
1610.00 -32.0534
1615.00 -32.0462
1620.00 -32.0388
1625.00 -32.0309
1630.00 -32.0221
1635.00 -32.0126
1640.00 -32.0028
1645.00 -31.9932
1650.00 -31.9831
1655.00 -31.9723
1660.00 -31.9609
1665.00 -31.9490
1670.00 -31.9368
1675.00 -31.9243
1680.00 -31.9115
1685.00 -31.8981
1690.00 -31.8844
1695.00 -31.8704
1700.00 -31.8562
1705.00 -31.8414
1710.00 -31.8256
1715.00 -31.8092
1720.00 -31.7924
1725.00 -31.7753
1730.00 -31.7579
1735.00 -31.7401
1740.00 -31.7219
1745.00 -31.7031
1750.00 -31.6837
1755.00 -31.6637
1760.00 -31.6433
1765.00 -31.6225
1770.00 -31.6012
1775.00 -31.5791
1780.00 -31.5564
1785.00 -31.5333
1790.00 -31.5098
1795.00 -31.4859
1800.00 -31.4616
1805.00 -31.4367
1810.00 -31.4114
1815.00 -31.3855
1820.00 -31.3592
1825.00 -31.3322
1830.00 -31.3048
1835.00 -31.2769
1840.00 -31.2482
1845.00 -31.2186
1850.00 -31.1886
1855.00 -31.1582
1860.00 -31.1273
1865.00 -31.0962
1870.00 -31.0642
1875.00 -31.0318
1880.00 -30.9984
1885.00 -30.9642
1890.00 -30.9299
1895.00 -30.8955
1900.00 -30.8605
1905.00 -30.8243
1910.00 -30.7871
1915.00 -30.7494
1920.00 -30.7117
1925.00 -30.6733
1930.00 -30.6343
1935.00 -30.5948
1940.00 -30.5546
1945.00 -30.5136
1950.00 -30.4723
1955.00 -30.4300
1960.00 -30.3870
1965.00 -30.3432
1970.00 -30.3001
1975.00 -30.2570
1980.00 -30.2127
1985.00 -30.1667
1990.00 -30.1200
1995.00 -30.0731
2000.00 -30.0257
2005.00 -29.9780
2010.00 -29.9294
2015.00 -29.8801
2020.00 -29.8295
2025.00 -29.7780
2030.00 -29.7278
2035.00 -29.6760
2040.00 -29.6222
2045.00 -29.5679
2050.00 -29.5138
2055.00 -29.4601
2060.00 -29.4055
2065.00 -29.3505
2070.00 -29.2946
2075.00 -29.2385
2080.00 -29.1821
2085.00 -29.1248
2090.00 -29.0659
2095.00 -29.0059
2100.00 -28.9451
2105.00 -28.8848
2110.00 -28.8241
2115.00 -28.7626
2120.00 -28.6996
2125.00 -28.6361
2130.00 -28.5724
2135.00 -28.5088
2140.00 -28.4445
2145.00 -28.3790
2150.00 -28.3125
2155.00 -28.2455
2160.00 -28.1778
2165.00 -28.1094
2170.00 -28.0406
2175.00 -27.9712
2180.00 -27.9011
2185.00 -27.8307
2190.00 -27.7600
2195.00 -27.6886
2200.00 -27.6162
2205.00 -27.5431
2210.00 -27.4694
2215.00 -27.3953
2220.00 -27.3211
2225.00 -27.2466
2230.00 -27.1708
2235.00 -27.0948
2240.00 -27.0175
2245.00 -26.9392
2250.00 -26.8601
2255.00 -26.7809
2260.00 -26.7017
2265.00 -26.6218
2270.00 -26.5413
2275.00 -26.4602
2280.00 -26.3785
2285.00 -26.2956
2290.00 -26.2126
2295.00 -26.1288
2300.00 -26.0445
2305.00 -25.9603
2310.00 -25.8762
2315.00 -25.7920
2320.00 -25.7061
2325.00 -25.6175
2330.00 -25.5280
2335.00 -25.4393
2340.00 -25.3513
2345.00 -25.2628
2350.00 -25.1733
2355.00 -25.0833
2360.00 -24.9927
2365.00 -24.9026
2370.00 -24.8119
2375.00 -24.7195
2380.00 -24.6253
2385.00 -24.5311
2390.00 -24.4382
2395.00 -24.3457
2400.00 -24.2522
2405.00 -24.1561
2410.00 -24.0598
2415.00 -23.9631
2420.00 -23.8668
2425.00 -23.7699
2430.00 -23.6723
2435.00 -23.5743
2440.00 -23.4758
2445.00 -23.3766
2450.00 -23.2768
2455.00 -23.1764
2460.00 -23.0754
2465.00 -22.9745
2470.00 -22.8739
2475.00 -22.7737
2480.00 -22.6728
2485.00 -22.5709
2490.00 -22.4684
2495.00 -22.3647
2500.00 -22.2601
2505.00 -22.1550
2510.00 -22.0507
2515.00 -21.9467
2520.00 -21.8419
2525.00 -21.7358
2530.00 -21.6294
2535.00 -21.5245
2540.00 -21.4202
2545.00 -21.3146
2550.00 -21.2061
2555.00 -21.0966
2560.00 -20.9874
2565.00 -20.8789
2570.00 -20.7704
2575.00 -20.6619
2580.00 -20.5537
2585.00 -20.4450
2590.00 -20.3348
2595.00 -20.2234
2600.00 -20.1123
2605.00 -20.0005
2610.00 -19.8892
2615.00 -19.7789
2620.00 -19.6691
2625.00 -19.5568
2630.00 -19.4420
2635.00 -19.3274
2640.00 -19.2144
2645.00 -19.1021
2650.00 -18.9892
2655.00 -18.8751
2660.00 -18.7608
2665.00 -18.6466
2670.00 -18.5317
2675.00 -18.4175
2680.00 -18.3028
2685.00 -18.1880
2690.00 -18.0721
2695.00 -17.9552
2700.00 -17.8387
2705.00 -17.7227
2710.00 -17.6069
2715.00 -17.4909
2720.00 -17.3748
2725.00 -17.2582
2730.00 -17.1395
2735.00 -17.0199
2740.00 -16.9006
2745.00 -16.7827
2750.00 -16.6648
2755.00 -16.5467
2760.00 -16.4282
2765.00 -16.3094
2770.00 -16.1900
2775.00 -16.0710
2780.00 -15.9509
2785.00 -15.8312
2790.00 -15.7111
2795.00 -15.5911
2800.00 -15.4711
2805.00 -15.3511
2810.00 -15.2308
2815.00 -15.1102
2820.00 -14.9889
2825.00 -14.8671
2830.00 -14.7458
2835.00 -14.6254
2840.00 -14.5047
2845.00 -14.3823
2850.00 -14.2587
2855.00 -14.1357
2860.00 -14.0141
2865.00 -13.8928
2870.00 -13.7713
2875.00 -13.6498
2880.00 -13.5275
2885.00 -13.4046
2890.00 -13.2818
2895.00 -13.1599
2900.00 -13.0388
2905.00 -12.9170
2910.00 -12.7942
2915.00 -12.6723
2920.00 -12.5502
2925.00 -12.4282
2930.00 -12.3057
2935.00 -12.1827
2940.00 -12.0599
2945.00 -11.9360
2950.00 -11.8125
2955.00 -11.6896
2960.00 -11.5681
2965.00 -11.4461
2970.00 -11.3225
2975.00 -11.1970
2980.00 -11.0732
2985.00 -10.9513
2990.00 -10.8296
2995.00 -10.7056
3000.00 -10.5812
3005.00 -10.4575
3010.00 -10.3352
3015.00 -10.2129
3020.00 -10.0899
3025.00 -9.9671
3030.00 -9.8438
3035.00 -9.7209
3040.00 -9.5989
3045.00 -9.4790
3050.00 -9.3606
3053.15 -9.2860
